taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,number_of_occurrence,TT_URL
1097a3cd-a6c0-4c83-b68d-49897e64bc58,family,23acbfbc-fa3f-45c1-bf85-7dc141925c74,Corynocarpaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/1097a3cd-a6c0-4c83-b68d-49897e64bc58
0406c35b-8943-4866-9b51-6168968c1be7,family,23acbfbc-fa3f-45c1-bf85-7dc141925c74,Tetramelaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/0406c35b-8943-4866-9b51-6168968c1be7
123ab610-5b43-4e5e-a777-a44dd4233ba9,family,23acbfbc-fa3f-45c1-bf85-7dc141925c74,Datiscaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/123ab610-5b43-4e5e-a777-a44dd4233ba9
7c8ad4b5-11c8-48c7-ab93-6727b8939bda,family,4ed541ce-9be6-4e64-b028-e62bb6d29064,Lepidobotryaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/7c8ad4b5-11c8-48c7-ab93-6727b8939bda
6d8208d8-c4fe-472b-a338-2f13d82c9447,family,a74c9853-ac27-4b4e-ad01-053a9d2a7794,Cunoniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/6d8208d8-c4fe-472b-a338-2f13d82c9447
fbd6d77b-9e30-4d27-93e7-414421a77662,family,a74c9853-ac27-4b4e-ad01-053a9d2a7794,Cephalotaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/fbd6d77b-9e30-4d27-93e7-414421a77662
f77441b2-e595-4224-bd9c-18e5c674ecce,family,a74c9853-ac27-4b4e-ad01-053a9d2a7794,Brunelliaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/f77441b2-e595-4224-bd9c-18e5c674ecce
dcfbba1f-6d3e-4bbd-bdb6-f78439e37ca3,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Pandaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/dcfbba1f-6d3e-4bbd-bdb6-f78439e37ca3
1cc63b1e-8e4c-487c-b292-d01599c944b7,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Irvingiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/1cc63b1e-8e4c-487c-b292-d01599c944b7
01b66990-bb09-4d23-9181-fe8cfd2d1c6b,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Ctenolophonaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/01b66990-bb09-4d23-9181-fe8cfd2d1c6b
166c07bf-8297-48c0-ad15-2458ac926007,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Bonnetiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/166c07bf-8297-48c0-ad15-2458ac926007
2fe0285b-bbb8-4de1-8d38-86825d1d4379,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Podostemaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/2fe0285b-bbb8-4de1-8d38-86825d1d4379
cee51b13-abce-411a-a8ba-feb039208339,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Caryocaraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/cee51b13-abce-411a-a8ba-feb039208339
37568856-04b0-4f5c-9f93-1069ecee212b,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Lophopyxidaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/37568856-04b0-4f5c-9f93-1069ecee212b
c6c47e6e-91c5-4bd0-8cbf-a79ffe0411cb,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Centroplacaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c6c47e6e-91c5-4bd0-8cbf-a79ffe0411cb
63002326-6413-4ae5-83a6-13d9811cd175,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Balanopaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/63002326-6413-4ae5-83a6-13d9811cd175
05857eb2-43e7-41d3-aeb3-f01a9f131a25,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Trigoniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/05857eb2-43e7-41d3-aeb3-f01a9f131a25
5f32dfd2-bedb-4693-9646-21a493f88b5b,family,9225dddf-84ea-4e56-a7b4-a24ec4f5287b,Dichapetalaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/5f32dfd2-bedb-4693-9646-21a493f88b5b
