taxonUUID,taxonRank,simplifiedScientificName,endemism,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,sensitiveCategory,reason,TT_URL
06c67f88-729a-4871-a33d-3d037382b56d,species,Candida zeylanoides,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/06c67f88-729a-4871-a33d-3d037382b56d
21c8f558-cc6d-477e-a781-0020873146c9,species,Eupatorium cannabinum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/21c8f558-cc6d-477e-a781-0020873146c9
8625eb13-be70-4a83-9b42-7be07609743f,species,Desmodium laxum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/8625eb13-be70-4a83-9b42-7be07609743f
6178a4bc-0816-4024-adbe-85fa8405e7d9,species,Desmodium podocarpum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/6178a4bc-0816-4024-adbe-85fa8405e7d9
10479fc8-3e9b-441e-a34f-875ce412704f,species,Desmodium incanum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/10479fc8-3e9b-441e-a34f-875ce412704f
1a1e825c-da83-4891-a345-dddafac332fd,species,Myersina yangii,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/1a1e825c-da83-4891-a345-dddafac332fd
e28430a2-6add-4229-97ee-928730430945,species,Sinobdella sinensis,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","暫無危機（LC, Least Concern）","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/e28430a2-6add-4229-97ee-928730430945
0a686200-57ef-43a7-8ddc-74fb69c68aa8,species,Salanx acuticeps,"",原生 Native,"","滅絕（EX, Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/0a686200-57ef-43a7-8ddc-74fb69c68aa8
42815eea-f398-4c52-a399-b7675052113e,species,Plecoglossus altivelis,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","資料缺乏（DD, Data Deficient）","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/42815eea-f398-4c52-a399-b7675052113e
a077c0bf-a835-4a9c-97a9-db1cc2553037,species,Pyrrhula owstoni,台灣特有,原生 Native,"","易危（VU, Vulnerable）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/a077c0bf-a835-4a9c-97a9-db1cc2553037
fda73faa-192f-4ec4-a2ad-4b33d1d6ce89,species,Sinosuthora webbiana,"",原生 Native,"","瀕危（EN, Endangered）","暫無危機（LC, Least Concern）","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/fda73faa-192f-4ec4-a2ad-4b33d1d6ce89
ca2b07d8-03bc-42b2-b824-6f8bcae73e8c,infraspecies,Plecoglossus altivelis altivelis,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/ca2b07d8-03bc-42b2-b824-6f8bcae73e8c
1f7663d2-62ae-49d2-ad7d-758ff643c641,infraspecies,Sinosuthora webbiana bulomacha,台灣特有,原生 Native,"","瀕危（EN, Endangered）","暫無危機（LC, Least Concern）","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/1f7663d2-62ae-49d2-ad7d-758ff643c641
49ca1959-d7e1-4f5b-912a-49fbf424acfb,species,Najas ancistrocarpa,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/49ca1959-d7e1-4f5b-912a-49fbf424acfb
7350bc9c-6656-4d9a-a6f5-7b2fa3ec2ef6,species,Liparis ferruginea,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/7350bc9c-6656-4d9a-a6f5-7b2fa3ec2ef6
b9070e95-6219-4c97-9757-e878a71ed4d7,species,Musa yamiensis,"",原生 Native,"","野外滅絕（EW, Extinct in the Wild）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/b9070e95-6219-4c97-9757-e878a71ed4d7
e5ddbfd9-fae2-401d-b84c-c7f929a011c1,species,Actinoscirpus grossus,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/e5ddbfd9-fae2-401d-b84c-c7f929a011c1
bc1e90d1-a088-400a-b2c5-c8abb6c9410b,species,Carex metallica,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/bc1e90d1-a088-400a-b2c5-c8abb6c9410b
40331f24-8ecb-4911-a88f-5de60eb881ac,species,Carex scabrifolia,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/40331f24-8ecb-4911-a88f-5de60eb881ac
6e0be81f-ef19-4920-886d-2f7e947c7364,species,Cyperus unioloides,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/6e0be81f-ef19-4920-886d-2f7e947c7364
23d4bdd3-6d39-4827-adc4-78cfcabbe2db,species,Fimbristylis acuminata,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/23d4bdd3-6d39-4827-adc4-78cfcabbe2db
8879ded5-ab0f-4e68-8fd6-d14542b3306f,species,Fimbristylis tetragona,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/8879ded5-ab0f-4e68-8fd6-d14542b3306f
1e20796c-88a4-434b-a81b-88d0dc09bd36,species,Rhynchospora chinensis,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/1e20796c-88a4-434b-a81b-88d0dc09bd36
00391947-88e0-4fba-81c8-b47d7bcf8ce5,species,Schoenus falcatus,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/00391947-88e0-4fba-81c8-b47d7bcf8ce5
ad278010-8024-4d9e-809c-4f38cfd807ed,species,Hygroryza aristata,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/ad278010-8024-4d9e-809c-4f38cfd807ed
c6311d0f-b2de-40ae-86e6-2fd6bdae3e14,species,Oryza rufipogon,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/c6311d0f-b2de-40ae-86e6-2fd6bdae3e14
71816b32-e006-4e5b-b0b9-d764d44d854b,species,Bruguiera gymnorhiza,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/71816b32-e006-4e5b-b0b9-d764d44d854b
04f5f6aa-4a7b-441d-99f2-f7ac7ad6a699,species,Ceriops tagal,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/04f5f6aa-4a7b-441d-99f2-f7ac7ad6a699
40953258-0755-438a-9755-8d9902ed40c9,species,Circaea glabrescens,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/40953258-0755-438a-9755-8d9902ed40c9
589a4eaa-aedf-46db-ad21-8bfdbbee8510,species,Zanthoxylum armatum,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/589a4eaa-aedf-46db-ad21-8bfdbbee8510
e567e88a-876c-4afb-8464-6f77d452b9f2,species,Lysimachia candida,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/e567e88a-876c-4afb-8464-6f77d452b9f2
e4ed96cf-133a-4854-9acd-76984fb37ac2,species,Rhododendron kanehirae,台灣特有,原生 Native,"","野外滅絕（EW, Extinct in the Wild）","野外滅絕（EW, Extinct in the Wild）","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/e4ed96cf-133a-4854-9acd-76984fb37ac2
27625380-1952-4fe2-9e19-b9e707cb69f7,species,Limnophila heterophylla,"",原生 Native,"","野外滅絕（EW, Extinct in the Wild）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/27625380-1952-4fe2-9e19-b9e707cb69f7
c6328849-ec97-496c-93c5-af7903ca6f03,species,Limnophila taoyuanensis,"",原生 Native,"","野外滅絕（EW, Extinct in the Wild）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/c6328849-ec97-496c-93c5-af7903ca6f03
6658d283-459a-4aeb-9001-1feeda6a2a10,species,Lindernia nummularifolia,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/6658d283-459a-4aeb-9001-1feeda6a2a10
43e1f888-9327-4f13-8645-2d73446f928c,species,Utricularia uliginosa,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/43e1f888-9327-4f13-8645-2d73446f928c
14b66037-d797-48d5-8ff3-e8cbe07aea6f,species,Nymphoides lungtanensis,台灣特有,原生 Native,"","野外滅絕（EW, Extinct in the Wild）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/14b66037-d797-48d5-8ff3-e8cbe07aea6f
03aa0ad3-4004-4de1-a435-cc93e0a3316b,species,Artemisia annua,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/03aa0ad3-4004-4de1-a435-cc93e0a3316b
549c5c0f-f323-47de-a135-f7d6fa3367c9,species,Tephroseris kirilowii,"",原生 Native,"","區域滅絕（RE, Regionally Extinct）","","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/549c5c0f-f323-47de-a135-f7d6fa3367c9
32df7ca2-38c1-4ce4-9ba7-3f54e82cacd8,infraspecies,Prionailurus bengalensis euptilurus,"",原生 Native,瀕臨絕種保育類野生動物,"瀕危（EN, Endangered）","暫無危機（LC, Least Concern）","",敏感狀態=無的國內紅皮書等級高於VU的物種,https://taxatree.tbn.org.tw/taxa/32df7ca2-38c1-4ce4-9ba7-3f54e82cacd8
