TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taxon_id,taxon_status,simple_name,rank,kingdom
ae3df992-2344-49ec-8671-fb83e5bf7c00,infraspecies,Plantae,"",Huperzia serrata myriophyllifolia,t0026336,accepted,Huperzia myriophyllifolia,Species,Plantae
ae3df992-2344-49ec-8671-fb83e5bf7c00,infraspecies,Plantae,"",Huperzia serrata myriophyllifolia,t0103352,deleted,Huperzia serrata var. myriophyllifolia,Variety,Plantae
8873e169-f9c9-4401-ae67-0b826cc458e6,infraspecies,Plantae,"",Pteris cretica laeta,t0026508,accepted,Pteris esquirolii,Species,Plantae
8873e169-f9c9-4401-ae67-0b826cc458e6,infraspecies,Plantae,"",Pteris cretica laeta,t0102192,accepted,Pteris cretica subsp. cretica,Subspecies,Plantae
fed99acb-7dfd-45ad-9aa8-265e0b0ea492,infraspecies,Plantae,"",Pteris grevilleana grevilleana,t0086963,accepted,Pteris grevilleana fo. grevilleana,Form,Plantae
fed99acb-7dfd-45ad-9aa8-265e0b0ea492,infraspecies,Plantae,"",Pteris grevilleana grevilleana,t0101202,deleted,Pteris grevilleana fo. grevilleana,Form,Plantae
fed99acb-7dfd-45ad-9aa8-265e0b0ea492,infraspecies,Plantae,"",Pteris grevilleana grevilleana,t0103381,deleted,Pteris grevilleana var. grevilleana,Variety,Plantae
4fb0a69c-7751-42b1-b7c4-4e08c69564cd,infraspecies,Plantae,"",Pteris grevilleana ornata,t0087608,accepted,Pteris grevilleana fo. ornata,Form,Plantae
4fb0a69c-7751-42b1-b7c4-4e08c69564cd,infraspecies,Plantae,"",Pteris grevilleana ornata,t0102193,deleted,Pteris grevilleana var. ornata,Variety,Plantae
e34b5c27-8c11-47ba-80b4-d3755cbc3fc8,infraspecies,Plantae,"",Asplenium yoshinagae indicum,t0026925,accepted,Asplenium yoshinagae,Species,Plantae
e34b5c27-8c11-47ba-80b4-d3755cbc3fc8,infraspecies,Plantae,"",Asplenium yoshinagae indicum,t0103474,accepted,Asplenium yoshinagae subsp. indicum,Subspecies,Plantae
e7ca7c60-6a8d-4c9b-8597-0a56a99d8c18,infraspecies,Plantae,"",Athyrium iseanum angustisectum,t0086576,accepted,Athyrium iseanum var. angustisectum,Variety,Plantae
3ae40a98-5a85-445f-8634-3395626bffbb,infraspecies,Plantae,"",Cyrtomium falcatum australe,t0085097,accepted,Cyrtomium falcatum subsp. australe,Subspecies,Plantae
3cdaeaf0-c671-4edc-89b9-94aca3b0ab74,infraspecies,Plantae,"",Keteleeria davidiana formosana,t0058106,accepted,Keteleeria davidiana var. formosana,Variety,Plantae
11118108-8b1f-4aa9-bd4d-6063ce37da7b,infraspecies,Plantae,"",Chamaecyparis obtusa formosana,t0086676,accepted,Chamaecyparis obtusa var. formosana,Variety,Plantae
c90e0ef2-1813-4bc4-a392-70e274a8f2a6,infraspecies,Plantae,"",Tricyrtis formosana formosana,t0058450,accepted,Tricyrtis formosana,Species,Plantae
