TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_status
db627722-5fe7-4c21-b33b-32188dcc5477,order,Animalia,t0003081,Saccopharyngiformes,accepted
c986bc8c-cd41-4570-b8a8-b838889a7d08,order,Animalia,t0001805,Cyprinodontiformes,accepted
86751d7d-a407-4d98-a75a-1d7a3018924c,order,Animalia,t0002193,Synbranchiformes,accepted
fbe0bc25-caa3-4e20-9c9a-d30007e4a3bc,order,Animalia,t0002129,Salmoniformes,accepted
eb60446d-11ac-4d51-9dfc-5ae506d27a55,order,Animalia,t0002089,Polymixiiformes,accepted
548a7e8d-b6ea-4b16-90bf-9e658491d0fb,order,Animalia,t0002034,Osmeriformes,accepted
18d524d4-ac32-4db7-b59f-e008efb3b52a,order,Animalia,t0002043,Passeriformes,accepted
a9340ffd-d40d-455e-8f17-d407dcffbddf,order,Animalia,t0001660,Accipitriformes,accepted
e0d01b6d-a904-40d2-84b6-bb20270250b5,order,Animalia,t0001761,Charadriiformes,accepted
45842130-f166-468d-b111-87b07e21c98c,order,Animalia,t0002108,Psittaciformes,accepted
185b09ee-3190-4f09-a217-ec92b9cb5d63,order,Animalia,t0001687,Anseriformes,accepted
175c2184-8e16-4998-a774-e5b996c60968,order,Animalia,t0001881,Gruiformes,accepted
0e5b5f48-92b3-4ece-af73-234924000cee,order,Animalia,t0001867,Galliformes,accepted
c2b28618-84f1-4dc2-9ce9-c94129caa9f2,order,Animalia,t0002102,Procellariiformes,accepted
97a3d662-a2e2-4e11-a875-0591b3382e43,order,Animalia,t0002048,Pelecaniformes,accepted
b19183ae-cbc4-420f-b4aa-d2277cb3ec06,order,Animalia,t0001772,Ciconiiformes,accepted
24ee99b3-54fc-48c2-94e4-ecfb1f6234e2,order,Animalia,t0001796,Cuculiformes,accepted
e6f5ec7c-dea6-46a9-b1de-fa765d93f331,order,Animalia,t0001784,Columbiformes,accepted
49ff1288-0918-48ca-b22a-11619ae217d8,order,Animalia,t0001858,Falconiformes,accepted
8bcdb9fe-6cf2-4eb0-b6b5-51c126e9307f,order,Animalia,t0001869,Gaviiformes,accepted
743e6259-35f2-46f1-9022-232664883af4,order,Animalia,t0001787,Coraciiformes,accepted
4c410c85-ea5c-44c0-8c71-4589271ef865,order,Animalia,t0001694,Apodiformes,accepted
cfc85f4b-f58f-4af2-9db1-8a58c77913ef,order,Animalia,t0002186,Strigiformes,accepted
bdc1d411-a22c-463b-bbf2-6755161f1e9a,order,Animalia,t0002190,Suliformes,accepted
323b03a7-e67c-4906-a110-a4cb0b32f833,order,Animalia,t0002067,Piciformes,accepted
bc25f914-76aa-44c1-957a-9644227e0bda,order,Animalia,t0002057,Phaethontiformes,accepted
eb778e01-7006-4573-ae22-908706278491,order,Animalia,t0002082,Podicipediformes,accepted
ccdd5f69-0941-4d4e-b53c-00ae4ceccb63,order,Animalia,t0002187,Struthioniformes,accepted
59cc0ff5-b6bd-4832-a730-4780620137a8,order,Animalia,t0001737,Caprimulgiformes,accepted
837531c8-1390-4f37-9ee0-5f1c728d5630,order,Animalia,t0001731,Bucerotiformes,accepted
320e7ac3-7cdf-4c44-8ef6-e4a47434b897,order,Animalia,t0002060,Phoenicopteriformes,accepted
40c2602a-1e39-472e-9310-123e599dc26f,order,Animalia,t0003088,Squamata,accepted
df13ec82-39fb-4eea-94c8-e3433ac34338,order,Animalia,t0001792,Crocodylia,accepted
673dd2f5-80a0-4403-b81a-903d75b4de23,order,Animalia,t0002201,Testudines,accepted
fc330d59-91f8-49db-8731-6c8c252e5037,order,Animalia,t0001998,Myliobatiformes,accepted
97e058ca-a542-4ea7-9cb5-ac5d4a430f9e,order,Animalia,t0001929,Lamniformes,accepted
752af8a3-6c65-406a-b99c-657b8ba14978,order,Animalia,t0002100,Pristiophoriformes,accepted
aefc2346-afc0-4a85-8394-3dc29bc848f0,order,Animalia,t0001740,Carcharhiniformes,accepted
eb565046-8437-4fa2-995f-0679607c6449,order,Animalia,t0002113,Rajiformes,accepted
18d8f214-2e30-4851-a434-9782b781e6e6,order,Animalia,t0002213,Torpediniformes,accepted
6991bff0-5c77-4044-9f81-c2625e9e97cb,order,Animalia,t0002176,Squaliformes,accepted
0689604c-7b76-4dd3-9b56-dd9f240dcad0,order,Animalia,t0002032,Orectolobiformes,accepted
e0f857d1-c130-4a69-9bbb-e1dc98921be1,order,Animalia,t0001764,Chimaeriformes,accepted
25e44de8-0ae1-4fca-837c-55a0ac09531d,order,Animalia,t0001904,Hexanchiformes,accepted
