TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
d784785a-ee47-4b59-86e1-d420279d1d94,species,Animalia,t0028638,Evacanthus formosanus,Onukiades formosanus,accepted,TRUE
894aadc7-15c2-49f6-b8fe-c8938bd2dba1,species,Animalia,t0028639,Onukia arisana,Paraonukia arisana,accepted,TRUE
182ef78f-52c7-48cb-839b-3f5628633780,species,Animalia,t0028643,Onukia flavomaculatus,Bentus flavomaculatus,accepted,TRUE
c863b4d9-8c0d-4a5e-87c2-5bb343601fb4,species,Animalia,t0065221,Hecalus formosanus,Glossocratus formosanus,accepted,TRUE
d31c2e13-18eb-4334-b77a-bb834b3d5e32,species,Animalia,t0065222,Hecalus lefroyi,Glossocratus lefroyi,accepted,TRUE
415052f3-304c-4334-9aaa-982c6598f37f,species,Animalia,t0082976,Parabolocratus nitobei,Thomsonia nitobei,accepted,TRUE
7ca55d33-ee29-44ca-84d2-01de452cca2c,species,Animalia,t0039647,Stenometopius formosanus,Hodoedocus formosanus,accepted,TRUE
81e6ee14-54e0-42b3-b528-1fcc0942085f,species,Animalia,t0081543,Nesoselandria formosana,Corrugia formosana,accepted,TRUE
a3563d82-590e-48d3-a8f1-18d79604f9d9,species,Animalia,t0076750,Bracon hispae,Scutibracon hispae,accepted,TRUE
8072fd25-ccb2-486e-b5f3-f2c2914cb3aa,species,Animalia,t0070377,Aedes lineatopennis,Neomelaniconion lineatopenne,accepted,TRUE
9f9ae253-2519-40b3-8da2-6f10cab00d67,species,Animalia,t0102400,Aedes albolineatus,Scutomyia albolineata,deleted,TRUE
af1f784a-8810-41c8-804c-ab1995500f10,species,Animalia,t0070378,Aedes malikuli,Stegomyia malikuli,accepted,TRUE
821d19cc-41c9-43f1-82f5-e459b359dbeb,species,Animalia,t0081937,Ochlerotatus sinensis,Downsiomyia sinensis,accepted,TRUE
4150a3f5-6e09-4b45-a46a-1704a84ba381,species,Animalia,t0079812,Culicoides arakawai,Culicoides arakawae,accepted,TRUE
e9d7a4a9-28d8-4462-8912-2786ea3215c8,species,Animalia,t0071199,Amobina oculata,Amobia oculata,accepted,TRUE
d3d012a0-e28e-4e8f-bd20-575de93b437f,species,Animalia,t0065170,Harpagophalla phoenicopterus,Seniorwhitea phoenicopterus,accepted,TRUE
0f3128c7-bd31-4a1e-bdc0-1052501d8dfe,species,Animalia,t0037273,Pterella fasciata,Protomiltogramma fasciata,accepted,FALSE
0bf4773f-e79d-448b-9f19-39bb5d822d1c,species,Animalia,t0032587,Sarcophaga albiceps,Parasarcophaga albiceps,accepted,TRUE
38ca38ee-5a4f-4f55-b8ae-57ea59dce4be,species,Animalia,t0038168,Sarcophaga anchoriformis,Robineauella anchoriformis,accepted,TRUE
9ebf7a69-c897-44b6-888f-374567ec67a8,species,Animalia,t0038169,Sarcophaga antilope,Sarcorohdendorfia antilope,accepted,TRUE
3bd77c17-0f6c-496b-85d0-09558c229909,species,Animalia,t0038170,Sarcophaga basiseta,Hoa basiseta,accepted,TRUE
d581d404-8104-4ad2-b77f-c15a003adc49,species,Animalia,t0038171,Sarcophaga beesoni,Lioproctia beesoni,accepted,TRUE
afc0b6e2-ec38-4598-b347-30f696c8d5b5,species,Animalia,t0038172,Sarcophaga kohla,Liosarcophaga kohla,accepted,TRUE
f9d12da3-874f-4926-bf71-25f7c7494673,species,Animalia,t0038173,Sarcophaga calicifera,Asceloctella calicifera,accepted,TRUE
1410098f-4af4-4cba-9fae-a45f0abe479d,species,Animalia,t0038174,Sarcophaga caudagalli,Pseudothyrsocnema caudagalli,accepted,TRUE
cc113da1-63fb-459c-a17f-8baad50dd603,species,Animalia,t0038176,Sarcophaga concreata,Parasarcophaga concreata,accepted,TRUE
b01f0eb6-b917-40d4-993e-898e072d84b1,species,Animalia,t0032588,Sarcophaga crinita,Sarcosolomonia crinita,accepted,TRUE
52fab617-1cac-4ca4-af6d-0d496e2efafb,species,Animalia,t0032589,Sarcophaga dux,Liosarcophaga dux,accepted,TRUE
2ef88e11-0c91-41a4-a56d-9cf82ab5df60,species,Animalia,t0038177,Sarcophaga fenchihuensis,Sugiyamamyia fenchihuensis,accepted,TRUE
abd46257-4ac7-469b-b1f5-f808b886b9bf,species,Animalia,t0038178,Sarcophaga formosensis,Boettcherisca formosensis,accepted,TRUE
8d139a43-4d0f-4a46-859c-b082ceac7faa,species,Animalia,t0038179,Sarcophaga gracilior,Sarcorohdendorfia gracilior,accepted,TRUE
cb595dfe-98ad-45a0-be1e-5b011a4f8589,species,Animalia,t0038180,Sarcophaga gravelyi,Phallosphaera gravelyi,accepted,TRUE
f77e3ff4-174e-4389-b227-64b1a3ca22c4,species,Animalia,t0038181,Sarcophaga hainanensis,Parasarcophaga hainanensis,accepted,TRUE
78d9562b-bc01-47bf-8fe6-2d3890150b54,species,Animalia,t0038182,Sarcophaga hervebazini,Parasarcophaga hervebazini,accepted,TRUE
ab79e586-2b3f-4943-8d2e-d6450bcbe587,species,Animalia,t0038183,Sarcophaga idmais,Liosarcophaga idmais,accepted,TRUE
7908aa41-113f-4726-8c26-bf754436d442,species,Animalia,t0038185,Sarcophaga iwuensis,Liosarcophaga iwuensis,accepted,TRUE
db6edce1-b115-41f4-8926-c44c25c14247,species,Animalia,t0032590,Sarcophaga josephi,Bellieriomima josephi,accepted,TRUE
35dec07f-a285-49a7-aa62-742ce3bddd14,species,Animalia,t0038186,Sarcophaga princeps,Seniorwhitea princeps,accepted,TRUE
4c72dd87-228d-4a0f-a41f-8f4b91b88606,species,Animalia,t0038187,Sarcophaga lini,Myorhina lini,accepted,TRUE
1f28d994-f9d3-45c1-880b-ee70a5b6c9aa,species,Animalia,t0038188,Sarcophaga melanura,Helicophagella melanura,accepted,TRUE
