TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Lamprodila (Palmar),,,
Ovalisia,,,
Acmaeodera (Cobosiella),,,
Episcapha (Episcapha),,,
Episcapha (Psiloscapha),,,
Paraxonotha,,,
Episcapha (Ephicaspa),,,
Anthrenus (Anthrenodes),,,
Anthrenus (Anthrenus),,,
Anthrenus (Florilinus),,,
Anthrenus (Nathrenus),,,
Attagenus (Aethriostoma),,,
Attagenus (Attagenus),,,
Ctesias (Tiresiomorpha),,,
Dermestes (Dermestes),,,
Dermestes (Dermestinus),,,
Orphinus (Curtophinus),,,
Orphinus (Orphinus),,,
Fissocantharis,,,
Habronychus (Habronychus),,,
Habronychus (Monohabronychus),,,
Malthinus (Malthinus),,,
Malthodes (Malthodes),,,
Themus (Telephorops),,,
Themus (Themus),,,
Atomaria (Anchicera),,,
Erotides (Glabroplatycis),,,
Laterialis (Laterialis),,,
Laterialis (Tricostaeptera),,,
Lyponia (Poniella),,,
Heterhelus (Heterhelus),,,
Heterhelus (Taiwanoheterhelus),,,
Clada (Taiwanoclada),,,
Callirhipis (Callirhipis),,,
Callirhipis (Ennometidium),,,
Cartodere (Cartodere),,,
Melanophthalma (Melanophthalma),,,
Necrophila (Calosilpha),,,
Melandrya (Bonzicus),,,
Phloeotrinus (Phloeotrinus),,,
Lissodema (Episcapha),,,
Phelotrupes (Eogeotrupes),,,
Phelotrupes (Sinogeotrupes),,,
Eulithis,,,
Microlygris,,,
Genusa,,,
Apeleptera,,,
Argyrotoxa,,,
Schoenotenini,,,
Gargudinia,,,
Phycitia,,,
Neodrymonia (Neodrymonia),,,
Pantherinus,,,
Pheosiopsis (Oligaeschra),,,
Pseudofentonia (Eufentonia),,,
Dactylorhychides,,,
Sinensis,,,
Amphitorna,,,
Dendrophila,,,
Benthia,,,
Peracma,,,
Apheliona (Sujitettix),,,
Arboridia (Arboridia),,,
Dialecticopteryx (Akotettix),,,
Diomma (Diomma),,,
Empoasca (Chlorita),,,
Empoasca (Distantasca),,,
Empoasca (Eremochlorita),,,
Empoasca (Homa),,,
Empoascanara (Empoascanara),,,
Empoascanara (Kanguza),,,
Eupteryx (Stacla),,,
Eurhadina (Singhardina),,,
Katachiota,1,[],
Motschulskyia (Togaritettix),,,
Motschulskyia (Woolongica),,,
Pemia,1,[],
Tautomeura,1,[],
Thaia (Nlunga),,,
Thaia (Thaia),,,
Zygina (Zygina),,,
Bosellius,,,
Bryocoris (Bryocoris),,,
Bryocoris (Cobalorrhynchus),,,
Aphis (Protaphis),,,
Aulacorthum (Neomyzus),,,
Aulacorthum (Perillaphis),,,
Dysaphis (Pomaphis),,,
Macrosiphoniella (Asterobium),,,
Neoacyrthosiphon (Pseudoacythosiphon),,,
Schizaphis (Paraschizaphis),,,
Uroleucon (Uromelan),,,
Graphaosoma,,,
Zoraida (Neozoraida),,,
Zoraida (Peggiopsis),,,
Zoraida (Zoraida),,,
Eutrichosiphum (Paratrichosiphum),,,
Greenidea (Paragreenidea),,,
Greenidea (Trichosiphum),,,
Mollitrichosiphum (Metatrichosiphum),,,
Trioza (Megatrioza),,,
Eriosoma (Schizoneura),,,
Tetraneura (Tetraneurella),,,
Pterocallis (Reticallis),,,
Epiclinata,1,t0008839,not-accepted
Moonia,1,t0008840,not-accepted
Tenthredopsis (Thomsonia),,,
Polyrhachis (Cyrtomyrma),,,
Centistes (Chaetocentistes),,,
Colastes (Colastes),,,
Colastes (Shawiana),,,
