TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
a49cd266-442a-462b-8a8d-42b6d52486b6,species,Animalia,t0033391,Thryssa setirostris,species,Animalia,Thrissina setirostris,accepted,TRUE
f9c16e6d-4c0f-449c-91fd-2ea734148c47,species,Animalia,t0030661,Congriscus megastomus,species,Animalia,Congriscus megastoma,accepted,TRUE
4daebf1e-0533-4cce-ac91-682beaecdc20,species,Animalia,t0057120,Laemonema nana,species,Animalia,Guttigadus nana,accepted,TRUE
8d02cfe5-46ae-4989-b27d-c28d454d932d,species,Animalia,t0049844,Astronesthes indicus,species,Animalia,Astronesthes indica,accepted,TRUE
57e59748-b7ca-49f0-826f-37370e3a32f0,species,Animalia,t0028139,Myctophum asperum,species,Animalia,Dasyscopelus asper,accepted,TRUE
e7a640ac-e23f-40d5-9f0e-48d50ffe39c6,species,Animalia,t0028140,Myctophum obtusirostre,species,Animalia,Dasyscopelus obtusirostris,accepted,TRUE
03cc6c3d-b432-4bcf-b1fa-9a9f852f6fcc,species,Animalia,t0052000,Nannobrachium nigrum,species,Animalia,Lampanyctus niger,accepted,TRUE
586aff73-9c95-4e22-9937-84732b793a0f,species,Animalia,t0030384,Chelon affinis,species,Animalia,Planiliza affinis,accepted,TRUE
1219cfa8-35d1-4b31-b054-0d23c9caed04,species,Animalia,t0066567,Kerilia jerdonii,species,Animalia,Hydrophis jerdonii,accepted,TRUE
465eee4f-f2eb-4dca-ace2-3d7e5be84fa3,species,Animalia,t0083658,Anguis platura,species,Animalia,Hydrophis platurus,accepted,TRUE
b71e0364-cb43-4264-9b8e-4c1e001e2201,species,Animalia,t0032102,Praescutata viperina,species,Animalia,Hydrophis viperinus,accepted,TRUE
d4a4a2b6-f048-4c30-8c44-1988a7134784,species,Animalia,t0037535,Python reticulatus,species,Animalia,Malayopython reticulatus,accepted,TRUE
13e6dd9f-e076-443f-9759-45c36603b087,species,Animalia,t0028061,Mobula birostris,species,Animalia,Manta birostris,accepted,TRUE
0949cd09-097b-441d-ba95-4d26344a653f,species,Animalia,t0028060,Mobula alfredi,species,Animalia,Manta alfredi,accepted,TRUE
68b9e86e-d9de-4e68-aae4-b3c098edb251,species,Animalia,t0031625,Parmaturus melanobranchus,species,Animalia,Dichichthys melanobranchus,accepted,TRUE
6f4a6ba3-c2e3-4f26-b021-04b4c8e941fd,species,Animalia,t0101489,Meretrix meretrix,species,Animalia,Meretrix taiwanica,deleted,TRUE
2b372471-f5c1-46fd-8db4-1cda4ca4bca6,species,Animalia,t0048593,Venus toreuma,species,Animalia,Globivenus toreuma,accepted,TRUE
14cccbb5-9032-4529-814f-0d547f8f6f9c,species,Animalia,t0078228,Chlamys squamata,species,Animalia,Scaeochlamys squamea,accepted,TRUE
ab7d41fa-7bbc-46dd-bee2-79380077f46d,species,Animalia,t0061207,Delectopecten fluctuatus,species,Animalia,Ciclopecten fluctuatus,accepted,TRUE
16e52ca3-62df-486e-b34a-c74cda43a10d,species,Animalia,t0066900,Laternula marilina,species,Animalia,Parilaternula liautaudi,accepted,FALSE
db7cbf8a-a0c7-4e31-93a9-bc9cdcd69b86,species,Animalia,t0066902,Laternula truncata,species,Animalia,Exolaternula spengleri,accepted,TRUE
747e7a6c-d605-438a-beb9-1e27caf02bf9,species,Animalia,t0027333,Laternula attenuata,species,Animalia,Laternula creccina,accepted,FALSE
513997ed-bd65-4e11-84dc-d2f49f638017,species,Animalia,t0029932,Brachidontes striatulus,species,Animalia,Byssogerdius striatulus,accepted,FALSE
