TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
7b7f4c49-fe92-4081-b329-a060f9a04baf,subgenus,Animalia,t0122596,Plagiorhynchus (Plagiorhynchus),Plagiorhynchus,accepted,FALSE
bc44e029-304a-4480-b831-c19b9ac08c89,subgenus,Animalia,t0122597,Plagiorhynchus (Prosthorhynchus),Prosthorhynchus,accepted,TRUE
38e381a3-9600-487d-84fa-500a67113f12,subgenus,Animalia,t0123754,Stenobracon (Stenobracon),Stenobracon,accepted,TRUE
ce137b4f-7213-4150-bf24-78eba52ab671,subgenus,Animalia,t0123769,Aesalus (Huaesalus),Huaesalus,accepted,TRUE
4585b908-de1c-429d-b03e-aa3ca35d6c76,subgenus,Animalia,t0123770,Aesalus (Aesalus),Aesalus,accepted,FALSE
7fbd3d43-d5f7-41a8-9166-0e53209a2368,subgenus,Animalia,t0125236,Duolandrevus (Duolandrevus),Duolandrevus,accepted,FALSE
1dd24841-ee65-4bd7-87ba-70d67bca31a2,subgenus,Animalia,t0125469,Nerita (Linnerita),Linnerita,accepted,TRUE
f67fcac9-e8f2-4860-b1aa-c3daeb93c545,species,Animalia,t0096019,Laterialis oculatus,Laterialis (Laterialis) oculatus,accepted,FALSE
7e04f9c7-44bd-424f-9fe7-9de332140009,species,Animalia,t0096030,Lema concinnipennis,Lema (Lema) concinnipennis,accepted,FALSE
805daa53-6413-4d9b-9062-ecb463424303,species,Animalia,t0096031,Lema coronata,Lema (Lema) coronata,accepted,FALSE
6c7d4510-0be8-4fe9-8bad-a5e5a6171746,species,Animalia,t0096032,Lema fortunei,Lema (Petauristes) fortunei,accepted,FALSE
49391cbc-5766-4ff3-9d81-8e30dccb637a,species,Animalia,t0096033,Lema honorata,Lema (Petauristes) honorata,accepted,FALSE
ee575cdd-e3c2-4ff7-be71-91d986856922,species,Animalia,t0096038,Lencophenga ornata,Lencophenga (Lencophenga) ornata,accepted,FALSE
44bcda4e-a519-48a3-bece-b8963ccabb3d,species,Animalia,t0096093,Limnophila excelsa,Limnophila (Adelphomyia) excelsa,accepted,FALSE
358312dd-dc87-4cb9-baeb-96bfc62ea9f7,species,Animalia,t0096094,Limnophila ferocia,Limnophila (Adelphomyia) ferocia,accepted,FALSE
94c5a6c7-9469-4501-aa06-2bedd33a65f7,species,Animalia,t0096095,Limnophila platystyla,Limnophila (Adelphomyia) platystyla,accepted,FALSE
a40fb197-ea5c-4f94-a860-3d1c2ea80936,species,Animalia,t0096096,Limnophila rantaizana,Limnophila (Adelphomyia) rantaizana,accepted,FALSE
ea5d9ffc-60f0-4e22-9b0b-b6b1953598f7,species,Animalia,t0096097,Limnophila inaequalis,Limnophila (Brachylimnophlila) inaequalis,accepted,FALSE
906b1541-5696-498d-af35-778a74108226,species,Animalia,t0096098,Limnophila nesonemoralis,Limnophila (Brachylimnophlila) nesonemoralis,accepted,FALSE
657dd391-0857-4e3f-a52e-a8e53525c6d6,species,Animalia,t0096099,Limnophila dorsolineata,Limnophila (Dicranophragma) dorsolineata,accepted,FALSE
d4374c37-e691-4d18-96e2-f05bb0a2b4ac,species,Animalia,t0096100,Limnophila formosa,Limnophila (Dicranophragma) formosa,accepted,FALSE
b4019df6-8ec8-4b9e-a7b2-cafe71cd0b3e,species,Animalia,t0096101,Limnophila taiwanensis,Limnophila (Dicranophragma) taiwanensis,accepted,FALSE
d52993a5-45c4-40c9-9efa-36a9083bc71b,species,Animalia,t0096102,Limnophila harukonis,Limnophila (Prionolabis) harukonis,accepted,FALSE
d8fa7902-69ea-491b-9818-5ae3c3d24a64,species,Animalia,t0096103,Limnophila oritropha,Limnophila (Prionolabis) oritropha,accepted,FALSE
563aaa80-39ff-4c68-9be3-acf86a6f6696,species,Animalia,t0096104,Limnophila serridentata,Limnophila (Prionolabis) serridentata,accepted,FALSE
e245bb98-b8c4-4811-8b27-bc016548b4dd,species,Animalia,t0096105,Limonia ebriola,Limonia (Dicranomyia) ebriola,accepted,FALSE
0d8a6a06-232b-4855-b0b2-8cf134f4101c,species,Animalia,t0096106,Limonia inscita,Limonia (Dicranomyia) inscita,accepted,FALSE
